date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:09:18	247/247	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2008%20Nov%202018%2020:09:18%20GMT	https://www.e-education.psu.edu/meteo3	D:/Offline%20Websites/WinHTTrack/METEO3/www.e-education.psu.edu/meteo3.0.delayed	(from )
15:09:18	2189/2189	---M--	200	added ('OK')	text/plain	etag:%2288d-5788444f013a7%22	https://www.e-education.psu.edu/robots.txt		(from )
15:09:20	40679/40679	---MC-	200	added ('OK')	text/html	date:Thu,%2008%20Nov%202018%2020:09:18%20GMT	https://www.e-education.psu.edu/meteo3/	D:/Offline%20Websites/WinHTTrack/METEO3/www.e-education.psu.edu/meteo3/index.html	(from )
15:09:21	40698/40698	---MC-	200	added ('OK')	text/html	date:Thu,%2008%20Nov%202018%2020:09:20%20GMT	https://www.e-education.psu.edu/meteo3/node/1777	D:/Offline%20Websites/WinHTTrack/METEO3/www.e-education.psu.edu/meteo3/node/1777.html	(from https://www.e-education.psu.edu/meteo3/)
15:09:21	5428/5428	---M--	200	added ('OK')	text/css	etag:%221534-57881c82adb14%22	https://www.e-education.psu.edu/meteo3/modules/system/system.base.css?ph0le5	D:/Offline%20Websites/WinHTTrack/METEO3/www.e-education.psu.edu/meteo3/modules/system/system.base48f3.css	(from https://www.e-education.psu.edu/meteo3/)
15:09:22	2035/2035	---M--	200	added ('OK')	text/css	etag:%227f3-57881c82b8add%22	https://www.e-education.psu.edu/meteo3/modules/system/system.menus.css?ph0le5	D:/Offline%20Websites/WinHTTrack/METEO3/www.e-education.psu.edu/meteo3/modules/system/system.menus48f3.css	(from https://www.e-education.psu.edu/meteo3/)
15:09:22	961/961	---M--	200	added ('OK')	text/css	etag:%223c1-57881c82b3cba%22	https://www.e-education.psu.edu/meteo3/modules/system/system.messages.css?ph0le5	D:/Offline%20Websites/WinHTTrack/METEO3/www.e-education.psu.edu/meteo3/modules/system/system.messages48f3.css	(from https://www.e-education.psu.edu/meteo3/)
15:09:22	3711/3711	---M--	200	added ('OK')	text/css	etag:%22e7f-57881c82b7757%22	https://www.e-education.psu.edu/meteo3/modules/system/system.theme.css?ph0le5	D:/Offline%20Websites/WinHTTrack/METEO3/www.e-education.psu.edu/meteo3/modules/system/system.theme48f3.css	(from https://www.e-education.psu.edu/meteo3/)
15:09:22	3568/3568	---M--	200	added ('OK')	text/css	etag:%22df0-557cbfc92a5c0%22	https://www.e-education.psu.edu/meteo3/sites/all/modules/iconizer/files_icons.css?ph0le5	D:/Offline%20Websites/WinHTTrack/METEO3/www.e-education.psu.edu/meteo3/sites/all/modules/iconizer/files_icons48f3.css	(from https://www.e-education.psu.edu/meteo3/)
15:09:23	1313/1313	---M--	200	added ('OK')	text/css	etag:%22521-557cbfc92a5c0%22	https://www.e-education.psu.edu/meteo3/sites/all/modules/iconizer/proto_icons.css?ph0le5	D:/Offline%20Websites/WinHTTrack/METEO3/www.e-education.psu.edu/meteo3/sites/all/modules/iconizer/proto_icons48f3.css	(from https://www.e-education.psu.edu/meteo3/)
